Survived,Pclass,Age,SibSp,Parch,Fare,Sex_female,Sex_male,Embarked_C,Embarked_Missing,Embarked_Q,Embarked_S
0,3,3.091042453358316,1,0,2.1102132003465894,0,1,0,0,0,1
1,1,3.6375861597263857,1,0,4.2805931204649,1,0,1,0,0,0
1,3,3.258096538021482,0,0,2.188856327665703,1,0,0,0,0,1
1,1,3.5553480614894135,1,0,3.9908341858524357,1,0,0,0,0,1
0,3,3.5553480614894135,0,0,2.2027647577118348,0,1,0,0,0,1
0,3,3.3911173365140987,0,0,2.246892662898172,0,1,0,0,1,0
0,1,3.9889840465642745,0,0,3.967694202798607,0,1,0,0,0,1
0,3,0.6931471805599453,3,1,3.0944457464900235,0,1,0,0,0,1
1,3,3.295836866004329,0,2,2.495953738718064,1,0,0,0,0,1
1,2,2.6390573296152584,1,0,3.436268471383741,1,0,1,0,0,0
1,3,1.3862943611198906,1,1,2.8735646395797834,1,0,0,0,0,1
1,1,4.060443010546419,0,0,3.3160025355989236,1,0,0,0,0,1
0,3,2.995732273553991,0,0,2.2027647577118348,0,1,0,0,0,1
0,3,3.6635616461296463,1,5,3.4742929367327062,0,1,0,0,0,1
0,3,2.6390573296152584,0,0,2.180891922715322,1,0,0,0,0,1
1,2,4.007333185232471,0,0,2.833213344056216,1,0,0,0,0,1
0,3,0.6931471805599453,4,1,3.405355391810819,0,1,0,0,1,0
1,2,3.3911173365140987,0,0,2.6390573296152584,0,1,0,0,0,1
0,3,3.4339872044851463,1,0,2.9444389791664403,1,0,0,0,0,1
1,3,3.3911173365140987,0,0,2.1071782966514356,1,0,1,0,0,0
0,2,3.5553480614894135,0,0,3.295836866004329,0,1,0,0,0,1
1,2,3.5263605246161616,0,0,2.6390573296152584,0,1,0,0,0,1
1,3,2.70805020110221,0,0,2.2004637699272855,1,0,0,0,1,0
1,1,3.332204510175204,0,0,3.597312260588446,0,1,0,0,0,1
0,3,2.0794415416798357,3,1,3.0944457464900235,1,0,0,0,0,1
1,3,3.6375861597263857,1,5,3.4777725458882283,1,0,0,0,0,1
0,3,3.3911173365140987,0,0,2.1071782966514356,0,1,1,0,0,0
0,1,2.9444389791664403,3,2,5.575949103146316,0,1,0,0,0,1
1,3,3.3911173365140987,0,0,2.1837114628556327,1,0,0,0,1,0
0,3,3.3911173365140987,0,0,2.1855792552411137,0,1,0,0,0,1
0,1,3.6888794541139363,0,0,3.357621598945279,0,1,1,0,0,0
1,1,3.3911173365140987,1,0,4.993969182787072,1,0,1,0,0,0
1,3,3.3911173365140987,0,0,2.169053700369523,1,0,0,0,1,0
0,2,4.189654742026425,0,0,2.4423470353692043,0,1,0,0,0,1
0,1,3.332204510175204,1,0,4.420896324687287,0,1,1,0,0,0
0,1,3.7376696182833684,1,0,3.970291913552122,0,1,0,0,0,1
1,3,3.3911173365140987,0,0,2.1076888046179385,0,1,1,0,0,0
0,3,3.044522437723423,0,0,2.2027647577118348,0,1,0,0,0,1
0,3,2.8903717578961645,2,0,2.9444389791664403,1,0,0,0,0,1
1,3,2.6390573296152584,1,0,2.5048481563289,1,0,1,0,0,0
0,3,3.6888794541139363,1,0,2.348991465808201,1,0,0,0,0,1
0,2,3.295836866004329,1,0,3.091042453358316,1,0,0,0,0,1
0,3,3.3911173365140987,0,0,2.1855792552411137,0,1,1,0,0,0
1,2,1.0986122886681098,1,2,3.7513658711253766,1,0,1,0,0,0
1,3,2.9444389791664403,0,0,2.1837114628556327,1,0,0,0,1,0
0,3,3.3911173365140987,0,0,2.2027647577118348,0,1,0,0,0,1
0,3,3.3911173365140987,1,0,2.803360380906535,0,1,0,0,1,0
1,3,3.3911173365140987,0,0,2.169053700369523,1,0,0,0,1,0
0,3,3.3911173365140987,2,0,3.1214482048688246,0,1,1,0,0,0
0,3,2.8903717578961645,1,0,2.9338568698359038,1,0,0,0,0,1
0,3,1.9459101490553132,4,1,3.705920919968788,0,1,0,0,0,1
0,3,3.044522437723423,0,0,2.174751721484161,0,1,0,0,0,1
1,1,3.8918202981106265,1,0,4.353230991152628,1,0,1,0,0,0
1,2,3.367295829986474,1,0,3.295836866004329,1,0,0,0,0,1
0,1,4.174387269895637,0,1,4.142804513146981,0,1,1,0,0,0
1,1,3.3911173365140987,0,0,3.597312260588446,0,1,0,0,0,1
1,2,3.044522437723423,0,0,2.4423470353692043,1,0,0,0,0,1
0,3,3.349904087274605,0,0,2.1076888046179385,0,1,1,0,0,0
1,2,1.6094379124341003,1,2,3.3586377672433594,1,0,0,0,0,1
0,3,2.3978952727983707,5,2,3.8691155044168695,0,1,0,0,0,1
0,3,3.091042453358316,0,0,2.1076888046179385,0,1,1,0,0,0
1,1,3.6375861597263857,0,0,4.394449154672439,1,0,0,1,0,0
0,1,3.8066624897703196,1,0,4.436455632600354,0,1,0,0,0,1
0,3,1.3862943611198906,3,2,3.3638415951183864,0,1,0,0,0,1
0,1,3.3911173365140987,0,0,3.357621598945279,0,1,1,0,0,0
1,3,3.3911173365140987,1,1,2.7878344138303452,0,1,1,0,0,0
1,2,3.367295829986474,0,0,2.4423470353692043,1,0,0,0,0,1
0,3,2.9444389791664403,0,0,2.2146605719425225,0,1,0,0,0,1
1,3,2.833213344056216,4,2,2.188856327665703,1,0,0,0,0,1
0,3,3.258096538021482,2,0,2.2682524139135403,0,1,0,0,0,1
0,2,3.4657359027997265,0,0,2.4423470353692043,0,1,0,0,0,1
0,3,2.772588722239781,5,2,3.8691155044168695,1,0,0,0,0,1
0,2,3.044522437723423,0,0,4.310799125385514,0,1,0,0,0,1
0,3,3.258096538021482,1,0,2.737880811060884,0,1,1,0,0,0
1,3,3.4657359027997265,0,0,4.05171190165724,0,1,0,0,0,1
0,3,3.2188758248682006,0,0,2.157559320943788,0,1,0,0,0,1
0,3,3.3911173365140987,0,0,2.1855792552411137,0,1,0,0,0,1
0,3,3.3911173365140987,0,0,2.2027647577118348,0,1,0,0,0,1
1,2,-0.18632957819149348,0,2,3.4011973816621555,0,1,0,0,0,1
1,3,3.4011973816621555,0,0,2.600836116795061,1,0,0,0,0,1
0,3,3.091042453358316,0,0,2.302585092994046,0,1,0,0,0,1
1,3,3.367295829986474,0,0,2.3513752571634776,0,1,0,0,0,1
1,3,3.3911173365140987,0,0,2.1733302571367834,1,0,0,0,1,0
0,1,3.332204510175204,0,0,3.8732821771117156,0,1,0,0,0,1
1,2,2.833213344056216,0,0,2.4423470353692043,1,0,0,0,0,1
1,3,3.4965075614664802,3,0,2.8243506567983707,1,0,0,0,0,1
0,3,2.772588722239781,1,3,3.5660053559634015,0,1,0,0,0,1
0,3,3.3911173365140987,0,0,2.2027647577118348,0,1,0,0,0,1
1,1,3.1354942159291497,3,2,5.575949103146316,1,0,0,0,0,1
0,3,3.1780538303479458,0,0,2.2027647577118348,0,1,0,0,0,1
0,3,3.367295829986474,0,0,2.2027647577118348,0,1,0,0,0,1
0,3,2.995732273553991,0,0,2.180891922715322,0,1,0,0,0,1
0,1,3.828641396489095,1,0,4.1299529896894684,0,1,0,0,0,1
0,3,3.258096538021482,1,2,3.0715352369694915,0,1,0,0,0,1
0,3,4.07753744390572,0,0,2.1102132003465894,0,1,0,0,0,1
0,3,3.3911173365140987,0,0,2.2027647577118348,0,1,0,0,0,1
0,1,4.2626798770413155,0,0,3.57386695198272,0,1,1,0,0,0
1,1,3.1354942159291497,0,1,4.164465907853638,0,1,1,0,0,0
1,2,3.5263605246161616,0,1,3.1780538303479458,1,0,0,0,0,1
0,2,3.5263605246161616,1,0,3.295836866004329,0,1,0,0,0,1
0,3,3.332204510175204,0,0,2.1855792552411137,1,0,0,0,0,1
0,3,3.3911173365140987,0,0,2.1855792552411137,0,1,0,0,0,1
0,1,3.044522437723423,0,1,4.360387947851531,0,1,0,0,0,1
0,3,3.4965075614664802,0,0,2.267393053825037,0,1,0,0,0,1
0,3,3.6109179126442243,2,0,2.188856327665703,0,1,0,0,0,1
0,3,3.332204510175204,0,0,2.1855792552411137,0,1,0,0,0,1
1,3,3.044522437723423,0,0,2.157559320943788,1,0,0,0,0,1
1,3,3.3911173365140987,0,0,2.1719067693519296,0,1,0,0,0,1
0,3,3.6375861597263857,0,0,2.1855792552411137,0,1,0,0,0,1
