NewVolSales,Base Price,Radio ,TV ,InStore,Facebook,Twitter,WebCamp,Online,Website Campaign ,Inserts,NewspaperInserts,Discount,tvst30,tvst60,tvst70,tvst80,tvst90,radiost30,radiost60,radiost70,radiost80,radiost90,Stout
19564,15.02927551,245,145.4,15.452,0,0,0,0,,0,,0,43.62,87.24,101.78,116.32,130.86,73.5,147,171.5,196,220.5,2.28342
19387,15.02927551,314,66,16.388,0,0,0,0,,0,,0,50.334,74.496,76.734,76.064,72.486,145.65,247.2,271.25,290.4,304.65,2.22134
23889,14.5850933,324,155.1,62.692,0,0,0,0,,0,,0.05,81.7638,122.8584,131.5902,139.2928,146.8386,199.155,293.28,308.175,317.28,322.065,2.00604
20055,15.33288702,298,114.5,16.573,0,0,0,0,,0,,0,91.58466,117.84336,119.62706,119.45856,117.73386,228.8085,296.112,301.0525,301.856,300.4065,2.19897
20064,15.64263188,279,96.5,41.504,0,0,0,0,,0,,0.045,93.059262,105.037344,103.438118,101.091712,98.623386,243.86595,285.8448,285.61575,283.5712,281.14065,1.8186
19481,15.4869851,259,139.1,20.404,0,0,0,0,,0,,0,106.8714834,125.4749376,128.4014354,131.4983424,135.0523386,248.406165,269.73792,266.984725,263.91424,261.214065,2.29155
19509,15.79984295,235,80.2,32.477,0,0,0,0,,0,,0,98.87003838,98.30997504,94.66043062,90.45966848,85.68523386,244.3843155,248.895168,244.5954175,240.782848,237.6214065,2.07661
19033,15.4869851,290,129.8,16.617,0,0,0,0,,0,,0,108.1490269,117.20399,119.2581292,121.9319337,125.3885234,258.0690209,273.5580672,276.3786253,280.1565696,284.7621407,2.63739
20498,15.02927551,315,124.5,44.796,0,0,0,0,,0,,0.035,113.0543188,121.581596,122.9274388,123.9863867,124.5888523,275.1483146,298.4232269,303.4135876,308.0313139,311.9762141,2.28031
19509,15.4869851,318,215.1,27.272,0,0,0,0,,0,,0.045,143.6680232,177.6926384,187.4482316,196.8772774,206.0488852,288.0038202,310.1692908,313.6240763,316.0062628,317.3976214,2.44064
18755,15.79984295,320,157.3,19.054,0,0,0,0,,0,,0,147.7576162,165.4570554,166.3444695,165.2154555,162.1748885,297.6026742,316.0677163,318.0872229,319.2012526,319.7397621,2.02237
19600,15.95863401,330,187.4,36.818,1,0,0,1,Facebook,0,,0.065,159.6503314,178.6228221,181.0833409,182.9630911,184.8774889,307.3218719,324.4270865,326.4261669,327.8402505,328.9739762,2.27081
18473,15.79984295,345,174,28.729,1,0,0,1,Facebook,0,,0,163.955232,175.8491289,176.1250023,175.7926182,175.0877489,318.6253103,336.7708346,339.4278501,341.5680501,343.3973976,2.51082
18262,15.95863401,278,135.7,10.782,1,0,0,1,Facebook,0,,0,155.4786624,151.7596515,147.8275007,143.7185236,139.6387749,306.4377172,301.5083338,296.428355,290.71361,284.5397398,2.40702
20550,15.95863401,250,149.1,26.959,1,0,0,1,Facebook,0,,0,153.5650637,150.1638606,148.7182502,148.0237047,148.1538775,289.5064021,270.6033335,263.9285065,258.142722,253.453974,2.47845
20101,15.79984295,250,122.3,31.937,0,0,0,0,,0,,0,144.1855446,133.4455443,130.2254751,127.444741,124.8853878,277.6544814,258.2413334,254.178552,251.6285444,250.3453974,2.20692
20940,15.02927551,250,126.6,26.228,0,0,0,0,,0,,0,138.9098812,129.3382177,127.6876425,126.7689482,126.4285388,269.358137,253.2965334,251.2535656,250.3257089,250.0345397,2.38661
