City,NO2,PM10,SO2,State
Chitoor,9,39,4,Andhra Pradesh
Guntur,11,81,2,Andhra Pradesh
Hydrabad,24,79,5,Andhra Pradesh
Kothagudem,11,62,2,Andhra Pradesh
Kurnool,9,85,4,Andhra Pradesh
Nalgonda,23,85,5,Andhra Pradesh
Nellore,12,65,2,Andhra Pradesh
Patencheru,23,76,11,Andhra Pradesh
Ramagundam,12,68,4,Andhra Pradesh
Tirupati,9,37,4,Andhra Pradesh
Vijaywada,14,93,6,Andhra Pradesh
Warangal,10,52,4,Andhra Pradesh
Vishakhapatnam,16,71,7,Andhra Pradesh
Bongaigaon,15,58,6,Assam
Daranga,14,58,5,Assam
Dibrugarh,14,38,6,Assam
Golaghat,15,73,6,Assam
Guwahati,15,94,7,Assam
Lakhimpur,15,76,6,Assam
Nagaon,14,103,6,Assam
Nalbari,16,68,7,Assam
Sibsagar,14,59,6,Assam
Silchar,16,81,6,Assam
Tezpur,13,68,6,Assam
Tinsukia,16,58,7,Assam
Patna,40,181,7,Bihar
Chandigarh,16,92,2,Chandigarh
Bhillai,22,109,9,Chattisgarh
Bilaspur,19,Null,8,Chattisgarh
Korba,21,104,13,Chattisgarh
Raipur,43,289,15,Chattisgarh
Silvassa,18,39,7,Dadra and Nagar Haveli
Daman,18,35,7,Daman and Diu
Delhi,55,261,5,Delhi
Panaji,17,85,4,Goa
Marmagao,18,59,32,Goa
Vasco,19,61,6,Goa
Curchorem,17,38,32,Goa
Codli,27,90,10,Goa
Bicholim,50,89,9,Goa
Amona,18,55,6,Goa
Assanora,16,71,5,Goa
Honda,25,100,8,Goa
Usgao,10,245,6,Goa
Ahmedabad,21,95,15,Gujarat
Anklesvar,24,77,16,Gujarat
Jamnagar,27,104,12,Gujarat
Rajkot,17,96,13,Gujarat
Surat,24,76,16,Gujarat
Vadodara,29,93,17,Gujarat
Vapi,24,80,16,Gujarat
Faridabad,29,164,18,Haryana
Hissar,8,95,8,Haryana
Yamunanagar,26,261,12,Haryana
Baddi,16,105,3,HimachalPradesh
Damtal,11,68,2,HimachalPradesh
Kala Amb,18,79,3,HimachalPradesh
Nalagarh,18,86,3,HimachalPradesh
Parwanoo,12,84,3,HimachalPradesh
Paonta Sahib,17,135,3,HimachalPradesh
Shimla,13,58,3,HimachalPradesh
Jammu,15,115,7,Jammu and Kashmir
Dhanbad,36,184,15,Jharkhand
Jamshedpur,48,153,35,Jharkhand
Jharia,38,237,17,Jharkhand
Ranchi,35,172,19,Jharkhand
Saraikela Khar- sawan,45,169,35,Jharkhand
Sindri,37,174,16,Jharkhand
West Singhbhum,32,302,21,Jharkhand
Bangalore,31,89,14,Karnataka
Belgaum,15,33,2,Karnataka
Gulburga,13,65,9,Karnataka
Hassan,22,45,5,Karnataka
Hubli-Dharwad,13,92,5,Karnataka
Mangalore,8,48,6,Karnataka
Mysore,28,44,10,Karnataka
Alappuzha,5,44,2,Kerala
Kochi,17,61,4,Kerala
Kollam,15,47,3,Kerala
Kottayam,19,47,6,Kerala
Kozhikode,9,42,2,Kerala
Malapuram,5,30,2,Kerala
Palakkad,6,32,3,Kerala
Pathanamthitta,13,27,2,Kerala
Thissur,7,31,2,Kerala
Wayanad,12,46,2,Kerala
Trivandrum,24,56,9,Kerala
