OrderID,OrderDate,PropertyID,ProductID,Quantity
1,2015-01-01,17,41,1
2,2015-01-01,15,54,2
3,2015-01-01,5,71,2
4,2015-01-01,19,3,2
5,2015-01-01,12,45,3
6,2015-01-01,6,94,2
7,2015-01-01,5,35,2
8,2015-01-02,16,93,1
9,2015-01-02,4,93,3
10,2015-01-02,2,61,2
11,2015-01-02,2,24,1
12,2015-01-02,8,23,1
13,2015-01-02,12,24,2
14,2015-01-03,4,94,3
15,2015-01-03,16,20,2
16,2015-01-03,2,94,3
17,2015-01-03,19,84,1
18,2015-01-03,9,89,2
19,2015-01-03,20,21,3
20,2015-01-03,1,6,1
21,2015-01-03,8,57,3
22,2015-01-03,4,70,2
23,2015-01-04,17,24,1
24,2015-01-04,14,23,2
25,2015-01-04,12,52,1
26,2015-01-04,17,84,2
27,2015-01-04,10,74,1
28,2015-01-05,10,33,3
29,2015-01-05,5,73,2
30,2015-01-05,2,5,1
31,2015-01-05,11,79,2
32,2015-01-06,20,44,1
33,2015-01-06,9,64,1
34,2015-01-06,18,10,2
35,2015-01-06,1,87,1
36,2015-01-06,2,37,2
37,2015-01-06,3,23,3
38,2015-01-06,8,37,3
39,2015-01-06,10,30,3
40,2015-01-06,19,83,2
41,2015-01-07,13,19,2
42,2015-01-07,10,27,2
43,2015-01-07,5,87,3
44,2015-01-07,1,19,2
45,2015-01-07,9,23,2
46,2015-01-08,6,28,2
47,2015-01-08,14,47,3
48,2015-01-08,18,58,1
49,2015-01-08,15,13,3
50,2015-01-08,19,91,2
51,2015-01-08,5,67,2
52,2015-01-08,10,25,3
53,2015-01-09,8,51,3
54,2015-01-09,5,24,2
55,2015-01-09,14,8,3
56,2015-01-10,16,70,3
57,2015-01-10,19,41,2
58,2015-01-10,19,42,1
59,2015-01-10,13,93,2
60,2015-01-10,13,42,2
61,2015-01-10,1,18,3
62,2015-01-10,2,59,1
63,2015-01-10,7,19,2
64,2015-01-11,1,73,2
65,2015-01-11,6,83,1
66,2015-01-11,3,74,1
67,2015-01-11,5,70,2
68,2015-01-11,6,84,3
69,2015-01-11,2,48,2
70,2015-01-11,14,65,1
71,2015-01-12,19,30,1
72,2015-01-12,10,36,1
73,2015-01-12,11,25,3
74,2015-01-12,17,16,3
75,2015-01-12,3,27,2
76,2015-01-12,2,44,1
77,2015-01-13,18,44,3
78,2015-01-13,14,72,1
79,2015-01-13,16,39,3
80,2015-01-13,8,85,1
81,2015-01-13,2,75,2
82,2015-01-14,7,60,1
83,2015-01-14,20,53,1
84,2015-01-14,11,67,2
85,2015-01-14,20,65,1
86,2015-01-14,6,94,1
87,2015-01-14,14,44,3
88,2015-01-14,6,58,1
89,2015-01-14,9,59,3
90,2015-01-15,13,84,1
91,2015-01-15,16,16,3
92,2015-01-15,2,58,3
93,2015-01-15,4,73,1
94,2015-01-15,19,59,2
95,2015-01-15,12,84,3
96,2015-01-16,3,92,3
97,2015-01-16,12,34,2
98,2015-01-16,12,34,3
99,2015-01-16,1,64,2
100,2015-01-16,10,24,1
101,2015-01-16,12,31,3
102,2015-01-16,8,73,1
103,2015-01-17,19,78,1
104,2015-01-17,11,16,3
105,2015-01-17,4,50,2
106,2015-01-17,14,85,2
107,2015-01-17,16,56,2
108,2015-01-18,4,25,1
109,2015-01-18,13,90,2
110,2015-01-18,3,72,2
111,2015-01-18,3,39,2
112,2015-01-18,15,10,1
113,2015-01-18,15,15,3
114,2015-01-18,3,75,1
115,2015-01-19,10,4,2
116,2015-01-19,8,47,2
117,2015-01-19,15,34,3
118,2015-01-20,13,10,2
119,2015-01-20,17,79,2
120,2015-01-20,19,72,3
121,2015-01-20,5,5,2
122,2015-01-20,13,7,3
123,2015-01-21,20,22,1
124,2015-01-21,10,2,2
125,2015-01-21,11,3,3
126,2015-01-21,16,45,3
127,2015-01-21,18,91,1
128,2015-01-21,11,41,2
129,2015-01-22,2,39,1
130,2015-01-22,1,56,3
131,2015-01-22,4,59,3
132,2015-01-22,11,67,3
133,2015-01-22,9,29,3
134,2015-01-22,6,37,2
135,2015-01-22,4,38,1
136,2015-01-22,15,36,3
137,2015-01-22,15,66,1
138,2015-01-22,8,61,2
139,2015-01-23,8,2,3
140,2015-01-23,17,78,1
141,2015-01-23,11,14,3
142,2015-01-23,17,88,1
143,2015-01-23,14,16,1
144,2015-01-23,9,49,3
145,2015-01-23,5,69,3
146,2015-01-23,17,16,1
147,2015-01-23,8,68,3
148,2015-01-23,3,69,2
149,2015-01-23,8,73,1
150,2015-01-24,2,45,3
151,2015-01-24,18,77,2
152,2015-01-24,10,93,2
153,2015-01-24,17,50,3
154,2015-01-24,20,14,1
155,2015-01-24,1,52,3
156,2015-01-24,19,6,3
157,2015-01-24,9,56,2
158,2015-01-24,14,37,3
159,2015-01-25,9,90,3
160,2015-01-25,4,65,1
161,2015-01-25,18,58,2
162,2015-01-25,9,24,2
163,2015-01-25,17,41,2
164,2015-01-25,13,50,2
165,2015-01-25,4,93,3
166,2015-01-25,16,82,3
167,2015-01-25,8,13,3
168,2015-01-26,13,42,1
169,2015-01-26,8,90,2
170,2015-01-26,12,14,1
171,2015-01-26,7,9,1
172,2015-01-26,15,27,2
173,2015-01-27,17,92,2
174,2015-01-27,19,38,1
175,2015-01-27,20,87,3
176,2015-01-27,6,1,1
177,2015-01-27,20,67,2
178,2015-01-27,2,52,3
179,2015-01-27,20,68,1
180,2015-01-27,19,56,2
181,2015-01-27,13,81,3
182,2015-01-27,5,72,2
183,2015-01-27,9,16,2
184,2015-01-28,5,51,2
185,2015-01-28,2,24,1
186,2015-01-28,6,35,1
187,2015-01-28,20,11,3
188,2015-01-28,10,3,2
189,2015-01-29,14,64,1
190,2015-01-29,12,6,2
191,2015-01-29,17,70,1
192,2015-01-29,13,60,2
193,2015-01-30,18,68,2
194,2015-01-30,17,62,1
195,2015-01-30,8,36,1
196,2015-01-30,12,71,2
197,2015-01-30,12,54,2
198,2015-01-30,13,52,1
199,2015-01-30,20,58,3
200,2015-01-31,16,25,2
201,2015-01-31,14,27,3
202,2015-01-31,10,5,1
203,2015-02-01,18,11,2
204,2015-02-01,15,65,2
205,2015-02-02,1,42,3
206,2015-02-02,18,2,2
207,2015-02-02,7,53,1
208,2015-02-02,4,8,1
209,2015-02-02,2,63,1
210,2015-02-02,1,3,3
211,2015-02-02,17,75,3
212,2015-02-02,3,36,2
213,2015-02-03,3,33,3
214,2015-02-03,14,58,3
215,2015-02-03,5,39,1
216,2015-02-03,3,54,2
217,2015-02-03,19,81,1
218,2015-02-03,17,94,2
219,2015-02-04,1,2,3
220,2015-02-04,12,36,2
221,2015-02-04,1,53,3
222,2015-02-05,10,22,2
223,2015-02-05,1,6,3
224,2015-02-05,3,72,1
225,2015-02-05,2,9,1
226,2015-02-06,8,80,3
227,2015-02-06,7,46,1
228,2015-02-06,8,71,2
229,2015-02-06,15,30,2
230,2015-02-07,4,39,2
231,2015-02-08,3,36,1
232,2015-02-08,10,29,1
233,2015-02-08,9,64,1
234,2015-02-08,13,58,1
235,2015-02-08,1,5,1
236,2015-02-08,20,74,3
237,2015-02-08,7,33,2
238,2015-02-09,4,36,3
239,2015-02-09,17,34,3
240,2015-02-09,3,67,1
241,2015-02-09,20,93,1
242,2015-02-09,2,69,2
243,2015-02-09,7,53,2
244,2015-02-10,16,40,1
245,2015-02-10,19,15,3
246,2015-02-10,16,92,1
247,2015-02-10,16,39,1
248,2015-02-10,16,19,2
249,2015-02-10,5,49,3
250,2015-02-10,14,50,2
251,2015-02-10,14,66,1
252,2015-02-11,14,30,1
253,2015-02-11,5,12,3
254,2015-02-11,7,31,1
255,2015-02-11,11,78,3
256,2015-02-11,9,42,1
257,2015-02-11,20,65,2
258,2015-02-11,6,61,2
259,2015-02-11,5,89,2
260,2015-02-11,14,47,2
261,2015-02-11,17,38,2
262,2015-02-12,12,19,2
263,2015-02-12,12,37,2
264,2015-02-12,13,55,2
265,2015-02-12,14,2,2
266,2015-02-12,8,91,1
267,2015-02-12,10,55,1
268,2015-02-12,5,55,2
269,2015-02-13,7,49,3
270,2015-02-13,8,81,2
271,2015-02-13,10,86,2
272,2015-02-13,9,38,2
273,2015-02-13,12,58,3
274,2015-02-13,5,49,1
275,2015-02-13,8,72,3
276,2015-02-13,19,91,2
277,2015-02-13,12,75,2
278,2015-02-13,1,84,1
279,2015-02-14,6,51,3
280,2015-02-14,5,5,2
281,2015-02-14,14,44,1
282,2015-02-14,20,6,2
283,2015-02-14,3,61,2
284,2015-02-14,15,17,3
285,2015-02-14,7,44,2
286,2015-02-15,13,93,1
287,2015-02-15,18,21,3
288,2015-02-15,16,48,2
289,2015-02-15,10,40,2
290,2015-02-15,11,9,1
291,2015-02-15,10,12,1
292,2015-02-15,8,90,3
293,2015-02-15,12,38,2
294,2015-02-16,19,63,3
295,2015-02-16,18,51,2
296,2015-02-16,16,70,3
297,2015-02-16,18,61,2
298,2015-02-16,12,14,1
299,2015-02-16,4,4,2
300,2015-02-16,20,80,3
301,2015-02-16,20,33,1
302,2015-02-17,17,65,2
303,2015-02-17,16,35,3
304,2015-02-17,8,67,1
305,2015-02-17,4,47,2
306,2015-02-17,10,87,3
307,2015-02-17,19,77,1
308,2015-02-17,12,27,3
309,2015-02-17,12,60,1
310,2015-02-18,5,79,2
311,2015-02-18,17,4,3
312,2015-02-18,7,15,2
313,2015-02-18,5,61,1
314,2015-02-18,15,38,1
315,2015-02-19,20,75,3
316,2015-02-19,9,34,1
317,2015-02-19,13,94,1
318,2015-02-19,15,69,3
319,2015-02-19,3,9,2
