default,amount,grade,years,ownership,income,age
0,1000,B,2.0,RENT,19200.0,24
1,6500,A,2.0,MORTGAGE,66000.0,28
0,2400,A,2.0,RENT,60000.0,36
0,10000,C,3.0,RENT,62000.0,24
1,4000,C,2.0,RENT,20000.0,28
1,5000,A,2.0,RENT,12000.0,27
1,6000,C,1.0,RENT,48000.0,23
0,5000,D,2.0,RENT,40000.0,21
0,4200,A,6.0,RENT,60000.0,29
0,12000,A,4.0,MORTGAGE,85000.0,22
1,3600,A,3.0,RENT,70000.0,27
0,6000,B,1.0,RENT,72000.0,25
1,4000,A,2.0,RENT,54000.0,27
0,13000,C,2.0,MORTGAGE,65000.0,22
1,1500,A,3.0,RENT,45000.0,24
1,4800,D,2.0,RENT,75000.0,24
1,1200,C,0.0,RENT,4800.0,22
0,7000,A,0.0,RENT,75800.0,23
1,12000,C,3.0,MORTGAGE,40000.0,23
0,10000,D,2.0,RENT,90000.0,21
0,2475,A,16.0,MORTGAGE,63600.0,23
1,7000,C,0.0,RENT,54000.0,28
0,10000,D,1.0,RENT,72000.0,38
0,7200,D,1.0,OWN,42996.0,25
1,7600,C,1.0,RENT,67680.0,25
0,1800,A,12.0,RENT,35000.0,29
0,7200,B,1.0,MORTGAGE,73200.0,32
0,2600,B,2.0,RENT,40792.0,35
0,7000,B,0.0,MORTGAGE,85000.0,23
0,12000,B,11.0,MORTGAGE,136000.0,32
0,7875,B,15.0,MORTGAGE,55500.0,36
0,6000,A,0.0,RENT,26400.0,22
0,4000,D,6.0,MORTGAGE,45000.0,31
0,6250,A,3.0,RENT,54000.0,23
0,10000,A,0.0,RENT,46200.0,22
0,4000,C,0.0,RENT,90000.0,28
0,17000,B,1.0,MORTGAGE,65000.0,26
1,12000,A,1.0,RENT,60000.0,30
0,3500,A,1.0,RENT,70000.0,23
0,18000,E,,OWN,72000.0,25
1,16750,C,18.0,RENT,60000.0,23
1,25000,D,3.0,MORTGAGE,116736.0,23
0,2000,B,0.0,RENT,24432.0,22
1,2100,D,0.0,RENT,14400.0,33
1,4000,A,,RENT,40000.0,25
0,13500,B,0.0,MORTGAGE,48526.8,22
1,6500,D,4.0,RENT,36000.0,30
1,9250,A,0.0,MORTGAGE,45896.0,25
0,11000,A,4.0,RENT,46000.0,22
0,7200,B,1.0,RENT,48000.0,30
1,3200,A,0.0,RENT,12000.0,24
0,8000,C,8.0,RENT,70000.0,26
0,1800,B,,RENT,14400.0,41
0,3600,A,12.0,MORTGAGE,93000.0,22
1,5000,B,3.0,RENT,65004.0,22
0,6950,A,11.0,MORTGAGE,30000.0,22
1,7500,B,2.0,MORTGAGE,81000.0,33
1,12000,D,2.0,RENT,27000.0,47
1,18000,A,7.0,MORTGAGE,90000.0,29
1,5000,B,3.0,RENT,40040.0,27
0,10000,C,34.0,OWN,75000.0,30
0,7500,C,7.0,RENT,55000.0,28
1,2000,D,1.0,RENT,30972.0,24
0,1000,C,2.0,RENT,7000.0,24
1,8000,B,1.0,RENT,33996.0,22
1,7750,E,2.0,RENT,26000.0,21
0,6000,A,0.0,RENT,48000.0,30
0,5000,B,1.0,MORTGAGE,51600.0,23
0,5000,A,2.0,RENT,58979.28,26
0,10000,C,11.0,MORTGAGE,153000.0,33
1,3500,D,2.0,MORTGAGE,24000.0,25
1,9000,A,9.0,RENT,42140.0,21
1,9000,B,1.0,RENT,51000.0,37
0,14000,A,14.0,MORTGAGE,116000.0,28
0,10500,B,6.0,RENT,38400.0,33
1,11200,C,5.0,MORTGAGE,33280.0,21
1,12000,D,2.0,MORTGAGE,72000.0,26
0,12500,A,3.0,MORTGAGE,32500.0,25
1,8000,B,3.0,RENT,14400.0,22
1,25000,B,12.0,MORTGAGE,616000.0,28
0,10000,B,10.0,MORTGAGE,32004.0,22
1,14000,B,8.0,RENT,35000.0,28
0,12000,B,2.0,RENT,47700.0,31
1,5400,D,1.0,RENT,32000.0,22
1,5900,A,1.0,OWN,15600.0,33
1,1100,C,5.0,MORTGAGE,36000.0,30
1,2000,B,2.0,RENT,10000.0,24
0,12000,A,6.0,RENT,48672.0,23
0,15000,B,4.0,RENT,84000.0,26
0,5000,A,11.0,OWN,85800.0,34
0,10000,C,3.0,RENT,62000.0,24
1,6000,B,1.0,MORTGAGE,34980.0,25
0,5000,B,8.0,MORTGAGE,80000.0,46
0,12000,B,1.0,OWN,61000.0,23
1,3500,B,9.0,RENT,51996.0,24
1,6000,A,8.0,MORTGAGE,92004.0,25
0,5600,A,20.0,RENT,55692.0,21
1,5000,D,7.0,RENT,40000.0,35
0,13375,A,1.0,MORTGAGE,59000.0,22
0,25000,A,18.0,RENT,65800.0,31
0,20000,B,7.0,MORTGAGE,120000.0,29
0,15000,A,4.0,RENT,74872.0,29
1,2000,B,26.0,MORTGAGE,52645.0,25
0,6000,A,3.0,RENT,39184.0,28
0,5400,C,20.0,MORTGAGE,100000.0,23
1,9000,C,5.0,MORTGAGE,69000.0,28
1,10000,B,5.0,RENT,60000.0,24
0,10000,D,4.0,RENT,34000.0,28
0,7000,D,4.0,RENT,72700.0,25
0,9600,B,10.0,RENT,94837.0,24
1,25000,B,2.0,MORTGAGE,250000.0,26
1,20000,D,3.0,RENT,62000.0,24
0,9000,C,7.0,MORTGAGE,50000.0,21
1,22000,F,2.0,MORTGAGE,93600.0,25
1,5775,A,1.0,RENT,36900.0,23
1,13500,B,9.0,MORTGAGE,78000.0,24
1,2000,B,1.0,RENT,48000.0,24
0,14400,C,1.0,RENT,80000.0,23
0,14000,B,0.0,RENT,37000.0,26
0,7000,D,5.0,RENT,35000.0,21
1,5000,A,3.0,OWN,32500.0,27
0,12000,A,19.0,MORTGAGE,145000.0,22
